Mice,Location,Cheese for Mouse Finder,Cheese,Charm for Mouse Finder,Charm,Base for Mouse Finder,Base,AR,HT,,For Map Planner,
Yeti,Slushy Shoreline,Gouda/Brie,,Softserve,Softserve,,,9.98%,27987,Yeti,Slushy Shoreline    Softserve  ,9.98%
Polar Bear,Slushy Shoreline,Gouda/Brie,,Softserve,Softserve,,,10.05%,28170,Polar Bear,Slushy Shoreline    Softserve  ,10.05%
Saboteur,Slushy Shoreline,Gouda/Brie,,Softserve,Softserve,,,9.90%,27759,Saboteur,Slushy Shoreline    Softserve  ,9.90%
Icebreaker,Slushy Shoreline,Gouda/Brie,,Softserve,Softserve,,,9.90%,27769,Icebreaker,Slushy Shoreline    Softserve  ,9.90%
Snow Bowler,Slushy Shoreline,Gouda/Brie,,Softserve,Softserve,,,5.13%,14373,Snow Bowler,Slushy Shoreline    Softserve  ,5.13%
Living Ice,Slushy Shoreline,SB+,SB+,Not Softserve,,,,19.00%,2683,Living Ice,Slushy Shoreline  SB+    ,19.00%
Snow Soldier,Slushy Shoreline,SB+,SB+,Not Softserve,,,,15.39%,2174,Snow Soldier,Slushy Shoreline  SB+    ,15.39%
Polar Bear,Slushy Shoreline,SB+,SB+,Not Softserve,,,,15.31%,2163,Polar Bear,Slushy Shoreline  SB+    ,15.31%
Snow Slinger,Slushy Shoreline,SB+,SB+,Not Softserve,,,,15.04%,2124,Snow Slinger,Slushy Shoreline  SB+    ,15.04%
Chipper,Slushy Shoreline,SB+,SB+,Not Softserve,,,,14.90%,2104,Chipper,Slushy Shoreline  SB+    ,14.90%
Incompetent Ice Climber,Slushy Shoreline,SB+,SB+,Not Softserve,,,,10.31%,1456,Incompetent Ice Climber,Slushy Shoreline  SB+    ,10.31%
Snow Bowler,Slushy Shoreline,SB+,SB+,Not Softserve,,,,10.05%,1420,Snow Bowler,Slushy Shoreline  SB+    ,10.05%
Living Ice,Slushy Shoreline,SB+,SB+,Softserve,Softserve,,,18.28%,13275,Living Ice,Slushy Shoreline  SB+  Softserve  ,18.28%
Chipper,Slushy Shoreline,SB+,SB+,Softserve,Softserve,,,14.99%,10882,Chipper,Slushy Shoreline  SB+  Softserve  ,14.99%
Icebreaker,Slushy Shoreline,SB+,SB+,Softserve,Softserve,,,9.84%,7147,Icebreaker,Slushy Shoreline  SB+  Softserve  ,9.84%
Polar Bear,Slushy Shoreline,SB+,SB+,Softserve,Softserve,,,10.08%,7319,Polar Bear,Slushy Shoreline  SB+  Softserve  ,10.08%
Snow Slinger,Slushy Shoreline,SB+,SB+,Softserve,Softserve,,,10.60%,7695,Snow Slinger,Slushy Shoreline  SB+  Softserve  ,10.60%
Snow Sniper,Slushy Shoreline,SB+,SB+,Softserve,Softserve,,,10.40%,7554,Snow Sniper,Slushy Shoreline  SB+  Softserve  ,10.40%
Snow Soldier,Slushy Shoreline,SB+,SB+,Softserve,Softserve,,,9.86%,7157,Snow Soldier,Slushy Shoreline  SB+  Softserve  ,9.86%
Yeti,Slushy Shoreline,SB+,SB+,Softserve,Softserve,,,5.46%,3965,Yeti,Slushy Shoreline  SB+  Softserve  ,5.46%
Saboteur,Slushy Shoreline,SB+,SB+,Softserve,Softserve,,,5.35%,3883,Saboteur,Slushy Shoreline  SB+  Softserve  ,5.35%
Snow Bowler,Slushy Shoreline,SB+,SB+,Softserve,Softserve,,,5.14%,3730,Snow Bowler,Slushy Shoreline  SB+  Softserve  ,5.14%
Hydrologist,Sunken City - Docked,Fishy Fromage,Fishy Fromage,,,,,19.97%,65403,Hydrologist,Sunken City - Docked  Fishy Fromage    ,19.97%
Enginseer,Sunken City - Docked,Fishy Fromage,Fishy Fromage,,,,,19.98%,65410,Enginseer,Sunken City - Docked  Fishy Fromage    ,19.98%
Elite Guardian,Sunken City - Docked,Fishy Fromage,Fishy Fromage,,,,,16.07%,52617,Elite Guardian,Sunken City - Docked  Fishy Fromage    ,16.07%
Clumsy Carrier,Sunken City - Docked,Fishy Fromage,Fishy Fromage,,,,,13.96%,45709,Clumsy Carrier,Sunken City - Docked  Fishy Fromage    ,13.96%
Sunken Citizen,Sunken City - Docked,Fishy Fromage,Fishy Fromage,,,,,10.06%,32954,Sunken Citizen,Sunken City - Docked  Fishy Fromage    ,10.06%
City Worker,Sunken City - Docked,Fishy Fromage,Fishy Fromage,,,,,9.99%,32711,City Worker,Sunken City - Docked  Fishy Fromage    ,9.99%
City Noble,Sunken City - Docked,Fishy Fromage,Fishy Fromage,,,,,4.99%,16341,City Noble,Sunken City - Docked  Fishy Fromage    ,4.99%
Oxygen Baron,Sunken City - Docked,Fishy Fromage,Fishy Fromage,,,,,4.98%,16305,Oxygen Baron,Sunken City - Docked  Fishy Fromage    ,4.98%
City Noble,Sunken City - Docked,SB+,SB+,,,,,26.90%,12667,City Noble,Sunken City - Docked  SB+    ,26.90%
Sunken Citizen,Sunken City - Docked,SB+,SB+,,,,,26.81%,12626,Sunken Citizen,Sunken City - Docked  SB+    ,26.81%
City Worker,Sunken City - Docked,SB+,SB+,,,,,26.00%,12247,City Worker,Sunken City - Docked  SB+    ,26.00%
Hydrologist,Sunken City - Docked,SB+,SB+,,,,,20.29%,9557,Hydrologist,Sunken City - Docked  SB+    ,20.29%
City Noble,Sunken City - Docked,,,,,,,38.95%,58493,City Noble,Sunken City - Docked      ,38.95%
Sunken Citizen,Sunken City - Docked,,,,,,,36.04%,54122,Sunken Citizen,Sunken City - Docked      ,36.04%
City Worker,Sunken City - Docked,,,,,,,25.01%,37564,City Worker,Sunken City - Docked      ,25.01%
Manatee,Sunken City - Shallow Shoals (Default - 1),,,,,,,25.20%,5069,Manatee,Sunken City - Shallow Shoals (Default - 1)      ,25.20%
Cuttle,Sunken City - Shallow Shoals (Default - 1),,,,,,,24.99%,5028,Cuttle,Sunken City - Shallow Shoals (Default - 1)      ,24.99%
Puffer,Sunken City - Shallow Shoals (Default - 1),,,,,,,24.91%,5012,Puffer,Sunken City - Shallow Shoals (Default - 1)      ,24.91%
Mlounder Flounder,Sunken City - Shallow Shoals (Default - 1),,,,,,,14.67%,2952,Mlounder Flounder,Sunken City - Shallow Shoals (Default - 1)      ,14.67%
Clownfish,Sunken City - Shallow Shoals (Default - 1),,,,,,,10.23%,2058,Clownfish,Sunken City - Shallow Shoals (Default - 1)      ,10.23%
Crabolia,Sunken City - Rocky Outcrop (Barnacle - 1),,,,,,,24.93%,8664,Crabolia,Sunken City - Rocky Outcrop (Barnacle - 1)      ,24.93%
Bottom Feeder,Sunken City - Rocky Outcrop (Barnacle - 1),,,,,,,24.61%,8554,Bottom Feeder,Sunken City - Rocky Outcrop (Barnacle - 1)      ,24.61%
Manatee,Sunken City - Rocky Outcrop (Barnacle - 1),,,,,,,20.02%,6958,Manatee,Sunken City - Rocky Outcrop (Barnacle - 1)      ,20.02%
Barnacle Beautician,Sunken City - Rocky Outcrop (Barnacle - 1),,,,,,,19.96%,6936,Barnacle Beautician,Sunken City - Rocky Outcrop (Barnacle - 1)      ,19.96%
Clownfish,Sunken City - Rocky Outcrop (Barnacle - 1),,,,,,,5.25%,1825,Clownfish,Sunken City - Rocky Outcrop (Barnacle - 1)      ,5.25%
Mlounder Flounder,Sunken City - Rocky Outcrop (Barnacle - 1),,,,,,,5.23%,1819,Mlounder Flounder,Sunken City - Rocky Outcrop (Barnacle - 1)      ,5.23%
School of Mish,Sunken City - School of Mice (Scale - 1),,,,,,,24.76%,8742,School of Mish,Sunken City - School of Mice (Scale - 1)      ,24.76%
Guppy,Sunken City - School of Mice (Scale - 1),,,,,,,24.71%,8724,Guppy,Sunken City - School of Mice (Scale - 1)      ,24.71%
Puffer,Sunken City - School of Mice (Scale - 1),,,,,,,20.37%,7192,Puffer,Sunken City - School of Mice (Scale - 1)      ,20.37%
Tadpole,Sunken City - School of Mice (Scale - 1),,,,,,,19.69%,6951,Tadpole,Sunken City - School of Mice (Scale - 1)      ,19.69%
Clownfish,Sunken City - School of Mice (Scale - 1),,,,,,,5.24%,1850,Clownfish,Sunken City - School of Mice (Scale - 1)      ,5.24%
Mlounder Flounder,Sunken City - School of Mice (Scale - 1),,,,,,,5.22%,1843,Mlounder Flounder,Sunken City - School of Mice (Scale - 1)      ,5.22%
Seadragon,Sunken City - Coral Reef (Coral - 1),,,,,,,25.04%,8758,Seadragon,Sunken City - Coral Reef (Coral - 1)      ,25.04%
Coral Cuddler,Sunken City - Coral Reef (Coral - 1),,,,,,,24.75%,8658,Coral Cuddler,Sunken City - Coral Reef (Coral - 1)      ,24.75%
Cuttle,Sunken City - Coral Reef (Coral - 1),,,,,,,19.79%,6923,Cuttle,Sunken City - Coral Reef (Coral - 1)      ,19.79%
Coral,Sunken City - Coral Reef (Coral - 1),,,,,,,19.64%,6871,Coral,Sunken City - Coral Reef (Coral - 1)      ,19.64%
Clownfish,Sunken City - Coral Reef (Coral - 1),,,,,,,5.45%,1906,Clownfish,Sunken City - Coral Reef (Coral - 1)      ,5.45%
Mlounder Flounder,Sunken City - Coral Reef (Coral - 1),,,,,,,5.34%,1867,Mlounder Flounder,Sunken City - Coral Reef (Coral - 1)      ,5.34%
Sand Dollar Diver,Sunken City - Sand Dollar Sea Bar (Treasure - 1),,,,,,,34.85%,12972,Sand Dollar Diver,Sunken City - Sand Dollar Sea Bar (Treasure - 1)      ,34.85%
Saltwater Axolotl,Sunken City - Sand Dollar Sea Bar (Treasure - 1),,,,,,,30.01%,11169,Saltwater Axolotl,Sunken City - Sand Dollar Sea Bar (Treasure - 1)      ,30.01%
Sand Dollar Queen,Sunken City - Sand Dollar Sea Bar (Treasure - 1),,,,,,,24.88%,9258,Sand Dollar Queen,Sunken City - Sand Dollar Sea Bar (Treasure - 1)      ,24.88%
Mlounder Flounder,Sunken City - Sand Dollar Sea Bar (Treasure - 1),,,,,,,10.26%,3819,Mlounder Flounder,Sunken City - Sand Dollar Sea Bar (Treasure - 1)      ,10.26%
Barracuda,Sunken City - Feeding Grounds (Danger - 1),,,,,,,35.29%,4925,Barracuda,Sunken City - Feeding Grounds (Danger - 1)      ,35.29%
Spear Fisher,Sunken City - Feeding Grounds (Danger - 1),,,,,,,29.54%,4122,Spear Fisher,Sunken City - Feeding Grounds (Danger - 1)      ,29.54%
Derpshark,Sunken City - Feeding Grounds (Danger - 1),,,,,,,24.51%,3420,Derpshark,Sunken City - Feeding Grounds (Danger - 1)      ,24.51%
Clownfish,Sunken City - Feeding Grounds (Danger - 1),,,,,,,10.66%,1488,Clownfish,Sunken City - Feeding Grounds (Danger - 1)      ,10.66%
Stingray,Sunken City - Sea Floor (Default - 2),,,,,,,18.99%,17554,Stingray,Sunken City - Sea Floor (Default - 2)      ,18.99%
Cuttle,Sunken City - Sea Floor (Default - 2),,,,,,,17.15%,15855,Cuttle,Sunken City - Sea Floor (Default - 2)      ,17.15%
Puffer,Sunken City - Sea Floor (Default - 2),,,,,,,16.79%,15519,Puffer,Sunken City - Sea Floor (Default - 2)      ,16.79%
Jellyfish,Sunken City - Sea Floor (Default - 2),,,,,,,16.06%,14843,Jellyfish,Sunken City - Sea Floor (Default - 2)      ,16.06%
Koimaid,Sunken City - Sea Floor (Default - 2),,,,,,,16.03%,14816,Koimaid,Sunken City - Sea Floor (Default - 2)      ,16.03%
Manatee,Sunken City - Sea Floor (Default - 2),,,,,,,14.98%,13850,Manatee,Sunken City - Sea Floor (Default - 2)      ,14.98%
Crabolia,Sunken City - Shipwreck (Barnacle - 2),,,,,,,18.23%,10393,Crabolia,Sunken City - Shipwreck (Barnacle - 2)      ,18.23%
Barnacle Beautician,Sunken City - Shipwreck (Barnacle - 2),,,,,,,17.95%,10234,Barnacle Beautician,Sunken City - Shipwreck (Barnacle - 2)      ,17.95%
Pirate Anchor,Sunken City - Shipwreck (Barnacle - 2),,,,,,,17.00%,9690,Pirate Anchor,Sunken City - Shipwreck (Barnacle - 2)      ,17.00%
Dread Pirate Mousert,Sunken City - Shipwreck (Barnacle - 2),,,,,,,16.73%,9537,Dread Pirate Mousert,Sunken City - Shipwreck (Barnacle - 2)      ,16.73%
Stingray,Sunken City - Shipwreck (Barnacle - 2),,,,,,,15.16%,8640,Stingray,Sunken City - Shipwreck (Barnacle - 2)      ,15.16%
Deep Sea Diver,Sunken City - Shipwreck (Barnacle - 2),,,,,,,14.93%,8514,Deep Sea Diver,Sunken City - Shipwreck (Barnacle - 2)      ,14.93%
Guppy,Sunken City - Mermouse Den (Scale - 2),,,,,,,18.06%,10258,Guppy,Sunken City - Mermouse Den (Scale - 2)      ,18.06%
Tadpole,Sunken City - Mermouse Den (Scale - 2),,,,,,,17.90%,10166,Tadpole,Sunken City - Mermouse Den (Scale - 2)      ,17.90%
Octomermaid,Sunken City - Mermouse Den (Scale - 2),,,,,,,17.02%,9669,Octomermaid,Sunken City - Mermouse Den (Scale - 2)      ,17.02%
Mermousette,Sunken City - Mermouse Den (Scale - 2),,,,,,,16.99%,9651,Mermousette,Sunken City - Mermouse Den (Scale - 2)      ,16.99%
Koimaid,Sunken City - Mermouse Den (Scale - 2),,,,,,,15.17%,8616,Koimaid,Sunken City - Mermouse Den (Scale - 2)      ,15.17%
Mershark,Sunken City - Mermouse Den (Scale - 2),,,,,,,14.86%,8442,Mershark,Sunken City - Mermouse Den (Scale - 2)      ,14.86%
Seadragon,Sunken City - Coral Garden (Coral - 2),,,,,,,18.14%,10318,Seadragon,Sunken City - Coral Garden (Coral - 2)      ,18.14%
Coral,Sunken City - Coral Garden (Coral - 2),,,,,,,18.06%,10274,Coral,Sunken City - Coral Garden (Coral - 2)      ,18.06%
Coral Gardener,Sunken City - Coral Garden (Coral - 2),,,,,,,16.78%,9545,Coral Gardener,Sunken City - Coral Garden (Coral - 2)      ,16.78%
Coral Harvester,Sunken City - Coral Garden (Coral - 2),,,,,,,16.60%,9445,Coral Harvester,Sunken City - Coral Garden (Coral - 2)      ,16.60%
Jellyfish,Sunken City - Coral Garden (Coral - 2),,,,,,,15.40%,8758,Jellyfish,Sunken City - Coral Garden (Coral - 2)      ,15.40%
Coral Dragon,Sunken City - Coral Garden (Coral - 2),,,,,,,15.02%,8545,Coral Dragon,Sunken City - Coral Garden (Coral - 2)      ,15.02%
Sand Dollar Queen,Sunken City - Pearl Patch (Treasure - 2),,,,,,,35.32%,18695,Sand Dollar Queen,Sunken City - Pearl Patch (Treasure - 2)      ,35.32%
Pearl Diver,Sunken City - Pearl Patch (Treasure - 2),,,,,,,29.66%,15698,Pearl Diver,Sunken City - Pearl Patch (Treasure - 2)      ,29.66%
Pearl,Sunken City - Pearl Patch (Treasure - 2),,,,,,,19.98%,10574,Pearl,Sunken City - Pearl Patch (Treasure - 2)      ,19.98%
Saltwater Axolotl,Sunken City - Pearl Patch (Treasure - 2),,,,,,,15.04%,7960,Saltwater Axolotl,Sunken City - Pearl Patch (Treasure - 2)      ,15.04%
Derpshark,Sunken City - Carnivore Cove (Danger - 2),,,,,,,28.62%,7918,Derpshark,Sunken City - Carnivore Cove (Danger - 2)      ,28.62%
Carnivore,Sunken City - Carnivore Cove (Danger - 2),,,,,,,27.98%,7741,Carnivore,Sunken City - Carnivore Cove (Danger - 2)      ,27.98%
Spear Fisher,Sunken City - Carnivore Cove (Danger - 2),,,,,,,24.42%,6756,Spear Fisher,Sunken City - Carnivore Cove (Danger - 2)      ,24.42%
Serpent Monster,Sunken City - Carnivore Cove (Danger - 2),,,,,,,18.98%,5250,Serpent Monster,Sunken City - Carnivore Cove (Danger - 2)      ,18.98%
Eel,Sunken City - Murky Depths (Default - 3),,,,,,,19.05%,11288,Eel,Sunken City - Murky Depths (Default - 3)      ,19.05%
Jellyfish,Sunken City - Murky Depths (Default - 3),,,,,,,16.87%,9994,Jellyfish,Sunken City - Murky Depths (Default - 3)      ,16.87%
Koimaid,Sunken City - Murky Depths (Default - 3),,,,,,,16.83%,9972,Koimaid,Sunken City - Murky Depths (Default - 3)      ,16.83%
Angelfish,Sunken City - Murky Depths (Default - 3),,,,,,,16.33%,9675,Angelfish,Sunken City - Murky Depths (Default - 3)      ,16.33%
Betta,Sunken City - Murky Depths (Default - 3),,,,,,,15.92%,9431,Betta,Sunken City - Murky Depths (Default - 3)      ,15.92%
Stingray,Sunken City - Murky Depths (Default - 3),,,,,,,14.99%,8883,Stingray,Sunken City - Murky Depths (Default - 3)      ,14.99%
Deep Sea Diver,Sunken City - Haunted Shipwreck (Barnacle - 3),,,,,,,18.16%,8234,Deep Sea Diver,Sunken City - Haunted Shipwreck (Barnacle - 3)      ,18.16%
Pirate Anchor,Sunken City - Haunted Shipwreck (Barnacle - 3),,,,,,,17.94%,8134,Pirate Anchor,Sunken City - Haunted Shipwreck (Barnacle - 3)      ,17.94%
Sunken Banshee,Sunken City - Haunted Shipwreck (Barnacle - 3),,,,,,,17.39%,7885,Sunken Banshee,Sunken City - Haunted Shipwreck (Barnacle - 3)      ,17.39%
Swashblade,Sunken City - Haunted Shipwreck (Barnacle - 3),,,,,,,16.66%,7552,Swashblade,Sunken City - Haunted Shipwreck (Barnacle - 3)      ,16.66%
Eel,Sunken City - Haunted Shipwreck (Barnacle - 3),,,,,,,14.97%,6787,Eel,Sunken City - Haunted Shipwreck (Barnacle - 3)      ,14.97%
Deranged Deckhand,Sunken City - Haunted Shipwreck (Barnacle - 3),,,,,,,14.89%,6751,Deranged Deckhand,Sunken City - Haunted Shipwreck (Barnacle - 3)      ,14.89%
Mershark,Sunken City - Lost Ruins (Scale - 3),,,,,,,18.17%,8297,Mershark,Sunken City - Lost Ruins (Scale - 3)      ,18.17%
Octomermaid,Sunken City - Lost Ruins (Scale - 3),,,,,,,17.81%,8135,Octomermaid,Sunken City - Lost Ruins (Scale - 3)      ,17.81%
Angler,Sunken City - Lost Ruins (Scale - 3),,,,,,,17.11%,7813,Angler,Sunken City - Lost Ruins (Scale - 3)      ,17.11%
Old One,Sunken City - Lost Ruins (Scale - 3),,,,,,,16.89%,7712,Old One,Sunken City - Lost Ruins (Scale - 3)      ,16.89%
Urchin King,Sunken City - Lost Ruins (Scale - 3),,,,,,,15.11%,6902,Urchin King,Sunken City - Lost Ruins (Scale - 3)      ,15.11%
Betta,Sunken City - Lost Ruins (Scale - 3),,,,,,,14.91%,6811,Betta,Sunken City - Lost Ruins (Scale - 3)      ,14.91%
Coral Gardener,Sunken City - Coral Castle (Coral - 3),,,,,,,17.94%,8149,Coral Gardener,Sunken City - Coral Castle (Coral - 3)      ,17.94%
Coral Dragon,Sunken City - Coral Castle (Coral - 3),,,,,,,17.72%,8049,Coral Dragon,Sunken City - Coral Castle (Coral - 3)      ,17.72%
Turret Guard,Sunken City - Coral Castle (Coral - 3),,,,,,,17.02%,7731,Turret Guard,Sunken City - Coral Castle (Coral - 3)      ,17.02%
Coral Guard,Sunken City - Coral Castle (Coral - 3),,,,,,,16.75%,7611,Coral Guard,Sunken City - Coral Castle (Coral - 3)      ,16.75%
Angelfish,Sunken City - Coral Castle (Coral - 3),,,,,,,15.35%,6973,Angelfish,Sunken City - Coral Castle (Coral - 3)      ,15.35%
Coral Queen,Sunken City - Coral Castle (Coral - 3),,,,,,,15.23%,6919,Coral Queen,Sunken City - Coral Castle (Coral - 3)      ,15.23%
Pearl,Sunken City - Sunken Treasure (Treasure - 3),,,,,,,34.82%,18348,Pearl,Sunken City - Sunken Treasure (Treasure - 3)      ,34.82%
Treasure Hoarder,Sunken City - Sunken Treasure (Treasure - 3),,,,,,,33.03%,17406,Treasure Hoarder,Sunken City - Sunken Treasure (Treasure - 3)      ,33.03%
Pearl Diver,Sunken City - Sunken Treasure (Treasure - 3),,,,,,,20.11%,10599,Pearl Diver,Sunken City - Sunken Treasure (Treasure - 3)      ,20.11%
Treasure Keeper,Sunken City - Sunken Treasure (Treasure - 3),,,,,,,12.05%,6348,Treasure Keeper,Sunken City - Sunken Treasure (Treasure - 3)      ,12.05%
Serpent Monster,Sunken City - Monster Trench (Danger - 3),,,,,,,30.42%,10726,Serpent Monster,Sunken City - Monster Trench (Danger - 3)      ,30.42%
Ancient of the Deep,Sunken City - Monster Trench (Danger - 3),,,,,,,30.31%,10685,Ancient of the Deep,Sunken City - Monster Trench (Danger - 3)      ,30.31%
Carnivore,Sunken City - Monster Trench (Danger - 3),,,,,,,24.67%,8697,Carnivore,Sunken City - Monster Trench (Danger - 3)      ,24.67%
Tritus,Sunken City - Monster Trench (Danger - 3),,,,,,,14.61%,5150,Tritus,Sunken City - Monster Trench (Danger - 3)      ,14.61%
Stingray,Sunken City - Oxygen Stream (Special),,,,,,,19.35%,1752,Stingray,Sunken City - Oxygen Stream (Special)      ,19.35%
Puffer,Sunken City - Oxygen Stream (Special),,,,,,,17.17%,1555,Puffer,Sunken City - Oxygen Stream (Special)      ,17.17%
Cuttle,Sunken City - Oxygen Stream (Special),,,,,,,16.85%,1526,Cuttle,Sunken City - Oxygen Stream (Special)      ,16.85%
Koimaid,Sunken City - Oxygen Stream (Special),,,,,,,16.05%,1453,Koimaid,Sunken City - Oxygen Stream (Special)      ,16.05%
Jellyfish,Sunken City - Oxygen Stream (Special),,,,,,,15.72%,1423,Jellyfish,Sunken City - Oxygen Stream (Special)      ,15.72%
Manatee,Sunken City - Oxygen Stream (Special),,,,,,,14.86%,1345,Manatee,Sunken City - Oxygen Stream (Special)      ,14.86%
Eel,Sunken City - Deep Oxygen Stream (Special),,,,,,,19.51%,1458,Eel,Sunken City - Deep Oxygen Stream (Special)      ,19.51%
Jellyfish,Sunken City - Deep Oxygen Stream (Special),,,,,,,17.17%,1283,Jellyfish,Sunken City - Deep Oxygen Stream (Special)      ,17.17%
Koimaid,Sunken City - Deep Oxygen Stream (Special),,,,,,,17.05%,1274,Koimaid,Sunken City - Deep Oxygen Stream (Special)      ,17.05%
Betta,Sunken City - Deep Oxygen Stream (Special),,,,,,,16.32%,1220,Betta,Sunken City - Deep Oxygen Stream (Special)      ,16.32%
Angelfish,Sunken City - Deep Oxygen Stream (Special),,,,,,,15.32%,1145,Angelfish,Sunken City - Deep Oxygen Stream (Special)      ,15.32%
Stingray,Sunken City - Deep Oxygen Stream (Special),,,,,,,14.64%,1094,Stingray,Sunken City - Deep Oxygen Stream (Special)      ,14.64%
Ancient of the Deep,Sunken City - Lair of the Ancients (Special),,,,,,,63.40%,939,Ancient of the Deep,Sunken City - Lair of the Ancients (Special)      ,63.40%
Tritus,Sunken City - Lair of the Ancients (Special),,,,,,,36.60%,542,Tritus,Sunken City - Lair of the Ancients (Special)      ,36.60%
Eel,Sunken City - Magma Flow (Special),,,,,,,19.11%,604,Eel,Sunken City - Magma Flow (Special)      ,19.11%
Treasure Keeper,Sunken City - Magma Flow (Special),,,,,,,17.81%,563,Treasure Keeper,Sunken City - Magma Flow (Special)      ,17.81%
Treasure Hoarder,Sunken City - Magma Flow (Special),,,,,,,16.86%,533,Treasure Hoarder,Sunken City - Magma Flow (Special)      ,16.86%
Betta,Sunken City - Magma Flow (Special),,,,,,,16.51%,522,Betta,Sunken City - Magma Flow (Special)      ,16.51%
Angelfish,Sunken City - Magma Flow (Special),,,,,,,15.25%,482,Angelfish,Sunken City - Magma Flow (Special)      ,15.25%
Serpent Monster,Sunken City - Magma Flow (Special),,,,,,,14.46%,457,Serpent Monster,Sunken City - Magma Flow (Special)      ,14.46%
Diamond,Tournament Hall,Gouda/Brie,,,,,,19.70%,344,Diamond,Tournament Hall      ,19.70%
Gold,Tournament Hall,Gouda/Brie,,,,,,19.47%,340,Gold,Tournament Hall      ,19.47%
Lightning Rod,Tournament Hall,Gouda/Brie,,,,,,22.16%,387,Lightning Rod,Tournament Hall      ,22.16%
Pugilist,Tournament Hall,Gouda/Brie,,,,,,19.13%,334,Pugilist,Tournament Hall      ,19.13%
Dwarf,Tournament Hall,Gouda/Brie,,,,,,19.53%,341,Dwarf,Tournament Hall      ,19.53%
Gold,Tournament Hall,SB+,SB+,,,,,13.12%,1241,Gold,Tournament Hall  SB+    ,13.12%
Lightning Rod,Tournament Hall,SB+,SB+,,,,,13.55%,1281,Lightning Rod,Tournament Hall  SB+    ,13.55%
Pugilist,Tournament Hall,SB+,SB+,,,,,13.80%,1305,Pugilist,Tournament Hall  SB+    ,13.80%
Diamond,Tournament Hall,SB+,SB+,,,,,13.94%,1318,Diamond,Tournament Hall  SB+    ,13.94%
Dwarf,Tournament Hall,SB+,SB+,,,,,13.09%,1238,Dwarf,Tournament Hall  SB+    ,13.09%
Speedy,Tournament Hall,SB+,SB+,,,,,6.90%,653,Speedy,Tournament Hall  SB+    ,6.90%
Silvertail,Tournament Hall,SB+,SB+,,,,,6.63%,627,Silvertail,Tournament Hall  SB+    ,6.63%
Burglar,Tournament Hall,SB+,SB+,,,,,6.75%,638,Burglar,Tournament Hall  SB+    ,6.75%
Flying,Tournament Hall,SB+,SB+,,,,,6.21%,587,Flying,Tournament Hall  SB+    ,6.21%
Nibbler,Tournament Hall,SB+,SB+,,,,,2.88%,272,Nibbler,Tournament Hall  SB+    ,2.88%
Crown Collector,Tournament Hall,SB+,SB+,,,,,3.14%,297,Crown Collector,Tournament Hall  SB+    ,3.14%
Bionic,Town of Digby,Gouda/Brie,,,,,,24.20%,645,Bionic,Town of Digby      ,24.20%
Granite,Town of Digby,Gouda/Brie,,,,,,23.68%,631,Granite,Town of Digby      ,23.68%
Steel,Town of Digby,Gouda/Brie,,,,,,21.46%,572,Steel,Town of Digby      ,21.46%
Dwarf,Town of Digby,Gouda/Brie,,,,,,10.24%,273,Dwarf,Town of Digby      ,10.24%
Zombie,Town of Digby,Gouda/Brie,,,,,,6.72%,179,Zombie,Town of Digby      ,6.72%
Gold,Town of Digby,Gouda/Brie,,,,,,6.42%,171,Gold,Town of Digby      ,6.42%
Diamond,Town of Digby,Gouda/Brie,,,,,,6.00%,160,Diamond,Town of Digby      ,6.00%
Bat,Town of Digby,Gouda/Brie,,,,,,0.90%,24,Bat,Town of Digby      ,0.90%
Mole,Town of Digby,Gouda/Brie,,,,,,0.38%,10,Mole,Town of Digby      ,0.38%
Industrious Digger,Town of Digby,Limelight,Limelight,,,,,15.82%,33872,Industrious Digger,Town of Digby  Limelight    ,15.82%
Stone Cutter,Town of Digby,Limelight,Limelight,,,,,13.90%,29749,Stone Cutter,Town of Digby  Limelight    ,13.90%
Demolitions,Town of Digby,Limelight,Limelight,,,,,11.73%,25122,Demolitions,Town of Digby  Limelight    ,11.73%
